name,education_level,years_experience,skills,certifications,job_role_applied,university_tier,known_languages,location,shortlisted
Candidate_1,Bachelor's,7.1,"Flask, NumPy, AWS, Pandas, JavaScript, Java",4,ML Engineer,Tier 2,"Telugu, Hindi",Mumbai,0
Candidate_2,Master's,5.1,"NLP, C++, Keras, Matplotlib, Pandas",2,Data Scientist,Tier 3,Hindi,Pune,0
Candidate_3,PhD,0.1,"Machine Learning, TensorFlow, React",4,ML Engineer,Tier 1,"Telugu, English",Chennai,1
Candidate_4,Master's,4.7,"SQL, C++, React, AWS, TensorFlow, NumPy",3,Backend Developer,Tier 1,"Tamil, Telugu",Hyderabad,0
Candidate_5,PhD,7.4,"Flask, Pandas, Java",4,Backend Developer,Tier 1,"Hindi, Tamil, Telugu",Bangalore,1
Candidate_6,PhD,7.7,"NLP, Keras, NumPy",1,Data Scientist,Tier 1,"Telugu, Tamil, Hindi",Pune,0
Candidate_7,Bachelor's,0.8,"Flask, TensorFlow, C++",2,ML Engineer,Tier 3,Tamil,Hyderabad,1
Candidate_8,Bachelor's,0.9,"Deep Learning, Machine Learning, React, Node.js, NLP, Matplotlib",3,ML Engineer,Tier 1,"Telugu, Tamil, Kannada",Delhi,0
Candidate_9,Master's,8.2,"C++, Spark, JavaScript, Deep Learning",5,Frontend Developer,Tier 2,Telugu,Chennai,0
Candidate_10,Bachelor's,7.9,"Flask, Matplotlib, Python, Pandas, JavaScript, Deep Learning",3,Data Analyst,Tier 1,"Hindi, Telugu, Tamil",Delhi,0
Candidate_11,Bachelor's,6.0,"NLP, Node.js, Spark, Python",2,Frontend Developer,Tier 2,"English, Telugu, Tamil",Mumbai,0
Candidate_12,Master's,4.1,"Seaborn, Keras, Matplotlib, Deep Learning, SQL",1,ML Engineer,Tier 1,"Kannada, Hindi, Tamil",Mumbai,0
Candidate_13,Master's,2.9,"Machine Learning, SQL, C++, Spark, Seaborn, Deep Learning",0,Data Analyst,Tier 1,"Kannada, English",Pune,1
Candidate_14,Master's,5.0,"Machine Learning, Keras, Node.js",1,ML Engineer,Tier 1,Telugu,Bangalore,0
Candidate_15,Master's,9.7,"Keras, TensorFlow, Python, NLP, Django, Flask",2,Frontend Developer,Tier 2,"Telugu, Hindi",Bangalore,1
Candidate_16,Master's,0.3,"JavaScript, NLP, Matplotlib",5,Data Analyst,Tier 1,"Telugu, Hindi, Tamil",Mumbai,0
Candidate_17,Bachelor's,6.2,"Java, Spark, Keras, JavaScript, TensorFlow, NLP",1,ML Engineer,Tier 3,Telugu,Hyderabad,1
Candidate_18,Bachelor's,7.1,"Matplotlib, SQL, TensorFlow, Flask",4,Backend Developer,Tier 1,English,Bangalore,1
Candidate_19,Master's,0.1,"Python, Seaborn, C++, TensorFlow",0,Backend Developer,Tier 3,"Tamil, Hindi, English",Pune,1
Candidate_20,Bachelor's,3.0,"TensorFlow, Flask, Java, Spark",0,Backend Developer,Tier 3,"English, Kannada, Hindi",Delhi,0
Candidate_21,Bachelor's,1.1,"Flask, React, C++, Seaborn, NumPy",2,Backend Developer,Tier 2,Telugu,Bangalore,0
Candidate_22,Master's,9.6,"Node.js, Keras, TensorFlow",2,ML Engineer,Tier 1,"English, Hindi",Pune,1
Candidate_23,PhD,6.3,"SQL, Deep Learning, NLP",3,Data Analyst,Tier 1,Kannada,Pune,0
Candidate_24,Master's,9.3,"AWS, Python, Seaborn, Spark",4,Data Analyst,Tier 1,"English, Hindi",Bangalore,1
Candidate_25,Master's,1.4,"JavaScript, Flask, Spark",3,Backend Developer,Tier 2,"Kannada, Tamil, Hindi",Pune,1
Candidate_26,Master's,4.4,"Node.js, Flask, React, AWS, Spark, Matplotlib",0,Data Analyst,Tier 3,"Hindi, Kannada",Pune,1
Candidate_27,Master's,4.3,"Keras, Flask, Deep Learning, SQL, TensorFlow, Node.js",1,Data Analyst,Tier 3,Telugu,Hyderabad,0
Candidate_28,Bachelor's,9.6,"Spark, Keras, Machine Learning, Matplotlib, NLP",3,Data Scientist,Tier 2,"Hindi, Tamil",Hyderabad,0
Candidate_29,Bachelor's,2.2,"NLP, JavaScript, Deep Learning, SQL, Python",2,Data Scientist,Tier 1,"Kannada, Tamil",Hyderabad,1
Candidate_30,PhD,0.7,"AWS, Node.js, Matplotlib, Spark, SQL",4,Frontend Developer,Tier 3,Kannada,Pune,1
Candidate_31,Master's,6.8,"Deep Learning, AWS, Node.js, Seaborn, Java, TensorFlow",3,ML Engineer,Tier 2,"English, Kannada",Mumbai,0
Candidate_32,Bachelor's,6.0,"Django, Spark, Python, Machine Learning, Seaborn, Deep Learning",4,Data Scientist,Tier 2,Telugu,Bangalore,1
Candidate_33,PhD,9.2,"Deep Learning, Python, C++",3,Data Scientist,Tier 2,"Tamil, Kannada, Hindi",Chennai,1
Candidate_34,Master's,0.8,"NumPy, Java, TensorFlow, Machine Learning, Pandas",3,Data Scientist,Tier 3,English,Hyderabad,1
Candidate_35,Bachelor's,8.3,"SQL, Deep Learning, Keras, Django",1,Data Scientist,Tier 2,"English, Kannada, Hindi",Bangalore,0
Candidate_36,Bachelor's,0.5,"C++, Flask, Deep Learning, TensorFlow, Spark",5,Backend Developer,Tier 3,"English, Hindi",Chennai,1
